student_id,full_name,last_name,first_name,email,dob,hometown,math,literature,english,source_file,error_log
SV001,Tuan G PHAM,Tuan G,PHAM,fake_email_1@not-exist-domain.com,2004-08-27,ha noi,9.2,0.2,9.5,students_202601161712.txt,Email rác
SV004,Van C Tran,Van C,Tran,fake_email_4@not-exist-domain.com,2004-07-19,Unknown,3.1,3.0,0.2,students_202601161712.txt,Email rác; Quê quán thiếu
SV005,Tuan G bui,Tuan G,bui,bui.tuang.5@gmail.com,2002-04-06,N/A,3.3,7.0,2.8,students_202601161712.txt,Quê quán thiếu
SV010,Tuan G Unknown,Tuan G,Unknown,unknown.tuang.10@gmail.com,2005-08-21,Nghe An,6.1,4.4,0.6,students_202601161712.txt,Tên lỗi
SV011,Minh E PHAM,Minh E,PHAM,fake_email_11@not-exist-domain.com,2007-09-16,TP.HCM,1.4,6.5,7.1,students_202601161712.txt,Email rác
SV012,thi d PHAM,thi d,PHAM,fake_email_12@not-exist-domain.com,2001-12-01,ha noi,0.7,9.9,9.2,students_202601161712.txt,Email rác
SV014,Ngoc F Unknown,Ngoc F,Unknown,unknown.ngocf.14@gmail.com,2004-07-22,Thanh Hoa,8.6,7.2,1.2,students_202601161712.txt,Tên lỗi
SV015,Ngoc F bui,Ngoc F,bui,fake_email_15@not-exist-domain.com,2002-05-27,Thanh Hoa,5.6,1.7,5.0,students_202601161712.txt,Email rác
SV016,van a Tran,van a,Tran,fake_email_16@not-exist-domain.com,2006-10-31,Thanh Hoa,8.1,2.7,7.5,students_202601161712.txt,Email rác
SV018,Van C nguyen,Van C,nguyen,fake_email_18@not-exist-domain.com,2004-01-28,Can Tho,2.3,8.5,4.1,students_202601161712.txt,Email rác
SV019,Ngoc F bui,Ngoc F,bui,bui.ngocf.19@gmail.com,2001-04-11,Unknown,5.6,0.5,6.3,students_202601161712.txt,Quê quán thiếu
SV020,Thi B Dang,Thi B,Dang,fake_email_20@not-exist-domain.com,2002-12-12,N/A,8.0,4.6,7.7,students_202601161712.txt,Email rác; Quê quán thiếu
SV021,van a Hoang,van a,Hoang,hoang.vana.21@gmail.com,2005-12-23,Unknown,8.4,2.5,8.3,students_202601161712.txt,Quê quán thiếu
SV023,van a Tran,van a,Tran,fake_email_23@not-exist-domain.com,2002-11-25,Da Nang,2.2,1.7,1.2,students_202601161712.txt,Email rác
SV024,Tuan G Dang,Tuan G,Dang,fake_email_24@not-exist-domain.com,2001-09-12,Unknown,7.2,7.1,8.6,students_202601161712.txt,Email rác; Quê quán thiếu
SV030,Van C nguyen,Van C,nguyen,nguyen.vanc.30@gmail.com,2004-11-03,Unknown,8.7,7.1,5.8,students_202601161712.txt,Quê quán thiếu
SV032,Thi B Tran,Thi B,Tran,fake_email_32@not-exist-domain.com,2004-10-24,Da Nang,6.9,8.3,1.1,students_202601161712.txt,Email rác
SV033,Thi B le,Thi B,le,fake_email_33@not-exist-domain.com,2002-06-15,Da Nang,7.9,6.7,9.3,students_202601161712.txt,Email rác
SV034,thi d PHAM,thi d,PHAM,fake_email_34@not-exist-domain.com,2007-09-07,Can Tho,8.3,1.7,6.5,students_202601161712.txt,Email rác
SV038,Thi B PHAM,Thi B,PHAM,fake_email_38@not-exist-domain.com,2002-05-07,Unknown,5.8,7.0,4.3,students_202601161712.txt,Email rác; Quê quán thiếu
SV040,Van C nguyen,Van C,nguyen,fake_email_40@not-exist-domain.com,2002-11-04,Unknown,9.3,6.7,0.0,students_202601161712.txt,Email rác; Quê quán thiếu
SV041,thi d Unknown,thi d,Unknown,fake_email_41@not-exist-domain.com,2001-09-02,TP.HCM,2.3,1.6,1.6,students_202601161712.txt,Tên lỗi; Email rác
SV045,Tuan G le,Tuan G,le,le.tuang.45@gmail.com,2003-12-02,N/A,7.2,7.4,0.2,students_202601161712.txt,Quê quán thiếu
SV047,Tuan G bui,Tuan G,bui,bui.tuang.47@gmail.com,2006-03-04,Unknown,8.3,0.4,9.1,students_202601161712.txt,Quê quán thiếu
