student_id,full_name,last_name,first_name,email,dob,hometown,math,literature,english,source_file,avg_score,rank
SV002,Thi B Nguyen,Thi B,Nguyen,nguyen.thib.2@gmail.com,2006-09-01,Hai Phong,1.2,5.3,4.9,students_202601161712.txt,3.8,Yếu
SV003,Van A Tran,Van A,Tran,tran.vana.3@gmail.com,2003-02-03,Hai Phong,2.8,2.0,6.1,students_202601161712.txt,3.63,Yếu
SV006,Ngoc F Pham,Ngoc F,Pham,pham.ngocf.6@gmail.com,2000-07-02,Da Nang,2.9,6.5,0.5,students_202601161712.txt,3.3,Yếu
SV007,Van C Dang,Van C,Dang,dang.vanc.7@gmail.com,2002-02-18,Hai Phong,7.0,8.2,8.9,students_202601161712.txt,8.03,Giỏi
SV008,Tuan G Pham,Tuan G,Pham,pham.tuang.8@gmail.com,2006-04-29,Ha Noi,0.8,0.3,1.5,students_202601161712.txt,0.87,Yếu
SV009,Van A Nguyen,Van A,Nguyen,nguyen.vana.9@gmail.com,2001-06-10,Nghe An,2.8,6.3,4.9,students_202601161712.txt,4.67,Yếu
SV013,Tuan G Le,Tuan G,Le,le.tuang.13@gmail.com,2000-02-03,Thanh Hoa,2.5,2.9,2.6,students_202601161712.txt,2.67,Yếu
SV017,Thi D Dang,Thi D,Dang,dang.thid.17@gmail.com,2007-11-03,Da Nang,2.4,3.3,3.2,students_202601161712.txt,2.97,Yếu
SV022,Van C Dang,Van C,Dang,dang.vanc.22@gmail.com,2007-03-27,Ha Noi,6.3,1.3,6.0,students_202601161712.txt,4.53,Yếu
SV025,Van A Tran,Van A,Tran,tran.vana.25@gmail.com,2007-07-07,Hai Phong,9.9,9.7,5.7,students_202601161712.txt,8.43,Giỏi
SV026,Van A Tran,Van A,Tran,tran.vana.26@gmail.com,2007-06-21,Hai Phong,0.8,1.3,4.3,students_202601161712.txt,2.13,Yếu
SV027,Minh E Le,Minh E,Le,le.minhe.27@gmail.com,2003-04-22,Hai Phong,9.1,5.1,6.4,students_202601161712.txt,6.87,Khá
SV028,Van A Nguyen,Van A,Nguyen,nguyen.vana.28@gmail.com,2006-10-03,Thanh Hoa,4.5,8.5,7.7,students_202601161712.txt,6.9,Khá
SV029,Ngoc F Pham,Ngoc F,Pham,pham.ngocf.29@gmail.com,2004-05-05,Thanh Hoa,3.3,9.9,8.7,students_202601161712.txt,7.3,Khá
SV031,Van A Tran,Van A,Tran,tran.vana.31@gmail.com,2004-06-28,Hai Phong,2.4,6.6,4.7,students_202601161712.txt,4.57,Yếu
SV035,Ngoc F Tran,Ngoc F,Tran,tran.ngocf.35@gmail.com,2000-03-06,Tp.Hcm,7.8,2.0,2.6,students_202601161712.txt,4.13,Yếu
SV036,Van C Bui,Van C,Bui,bui.vanc.36@gmail.com,2000-09-23,Thanh Hoa,6.5,3.8,0.7,students_202601161712.txt,3.67,Yếu
SV037,Ngoc F Vu,Ngoc F,Vu,vu.ngocf.37@gmail.com,2007-09-26,Nghe An,0.1,9.5,0.1,students_202601161712.txt,3.23,Yếu
