student_id,full_name,email,dob,hometown,math,literature,english,source_file,error_log,avg_score,rank
SV001,Huu T Trinh,trinh.huut.1@gmail.com,2004-05-26,Ha Noi,8.0,7.7,6.2,students_202601191651.txt,,7.3,Khá
SV002,Van A Dinh,fake_email_2@not-exist-domain.com,2005-06-13,Tp.Hcm,6.5,5.2,3.6,students_202601191651.txt,,5.1,Trung Bình
SV003,Tieu I Trinh,trinh.tieui.3@gmail.com,2006-05-30,Thanh Hoa,3.1,7.8,0.0,students_202601191651.txt,,3.63,Yếu
SV004,Tieu I Bui,fake_email_4@not-exist-domain.com,2000-02-11,Can Tho,4.5,5.0,1.5,students_202601191651.txt,,3.67,Yếu
SV005,Huu T Vu,fake_email_5@not-exist-domain.com,2000-01-04,Unknown,3.7,9.9,0.0,students_202601191651.txt,,4.53,Yếu
SV006,Huu T Nguyen,fake_email_6@not-exist-domain.com,2004-09-18,Tp.Hcm,2.0,5.6,1.1,students_202601191651.txt,,2.9,Yếu
SV007,Minh E Le,le.minhe.7@gmail.com,2002-08-25,Hai Phong,0.9,4.9,2.2,students_202601191651.txt,,2.67,Yếu
SV008,Huu T Dinh,dinh.huut.8@gmail.com,2000-10-31,Hai Phong,7.8,4.4,9.1,students_202601191651.txt,,7.1,Khá
SV009,Ngoc F Tran,tran.ngocf.9@gmail.com,2000-12-28,N/A,2.3,8.7,3.1,students_202601191651.txt,,4.7,Yếu
SV010,Huu T Trinh,fake_email_10@not-exist-domain.com,2007-07-11,Thanh Hoa,7.9,7.6,3.4,students_202601191651.txt,,6.3,Trung Bình
SV011,Van C Tieu,tieu.vanc.11@gmail.com,2007-07-27,Hai Phong,1.7,5.8,2.1,students_202601191651.txt,,3.2,Yếu
SV012,Ngoc F Bui,bui.ngocf.12@gmail.com,2006-03-25,Hai Phong,8.3,8.1,0.0,students_202601191651.txt,,5.47,Trung Bình
SV013,Ngoc F Pham,pham.ngocf.13@gmail.com,2001-05-04,Nghe An,2.2,2.2,6.9,students_202601191651.txt,,3.77,Yếu
SV014,Duc H Pham,pham.duch.14@gmail.com,2007-09-06,Thanh Hoa,3.5,7.2,1.8,students_202601191651.txt,,4.17,Yếu
SV015,Ngoc F Tran,tran.ngocf.15@gmail.com,2007-01-11,Son La,6.1,0.5,5.9,students_202601191651.txt,,4.17,Yếu
SV016,Minh E Pham,pham.minhe.16@gmail.com,2002-10-26,Can Tho,1.7,6.8,0.0,students_202601191651.txt,,2.83,Yếu
SV017,Ngoc F Vu,vu.ngocf.17@gmail.com,2004-01-31,N/A,2.5,9.1,0.0,students_202601191651.txt,,3.87,Yếu
SV018,Tuan G Pham,pham.tuang.18@gmail.com,2000-04-26,N/A,8.7,7.4,4.4,students_202601191651.txt,,6.83,Khá
SV019,Van A Le,le.vana.19@gmail.com,2004-07-02,Thanh Hoa,6.5,9.1,6.3,students_202601191651.txt,,7.3,Khá
SV020,Duc H Bui,bui.duch.20@gmail.com,2001-03-27,Unknown,6.1,3.8,3.3,students_202601191651.txt,,4.4,Yếu
SV021,Duc H Tran,tran.duch.21@gmail.com,2004-09-22,Ha Noi,7.7,3.8,7.5,students_202601191651.txt,,6.33,Trung Bình
SV022,Van C Nguyen,fake_email_22@not-exist-domain.com,2007-03-13,Tp.Hcm,1.8,0.0,2.5,students_202601191651.txt,,1.43,Yếu
SV023,Thi D Tieu,fake_email_23@not-exist-domain.com,2004-08-28,Hai Phong,7.9,2.2,7.9,students_202601191651.txt,,6.0,Trung Bình
SV024,Van A Unknown,fake_email_24@not-exist-domain.com,2006-03-18,Thanh Hoa,2.6,6.4,0.0,students_202601191651.txt,,3.0,Yếu
SV025,Van C Pham,pham.vanc.25@gmail.com,2000-01-14,Unknown,5.7,6.3,3.6,students_202601191651.txt,,5.2,Trung Bình
SV026,Van C Dinh,dinh.vanc.26@gmail.com,2004-05-18,Tp.Hcm,8.1,0.4,0.0,students_202601191651.txt,,2.83,Yếu
SV027,Tuan G Nguyen,fake_email_27@not-exist-domain.com,2007-01-24,Son La,4.4,3.1,7.2,students_202601191651.txt,,4.9,Yếu
SV028,Duc H Bui,bui.duch.28@gmail.com,2000-05-21,Unknown,4.6,1.2,4.9,students_202601191651.txt,,3.57,Yếu
SV029,Tieu I Dang,dang.tieui.29@gmail.com,2003-09-06,Tp.Hcm,1.3,7.8,4.6,students_202601191651.txt,,4.57,Yếu
SV030,Van A Hoang,hoang.vana.30@gmail.com,2003-10-06,N/A,5.8,7.6,0.0,students_202601191651.txt,,4.47,Yếu
SV031,Van A Le,le.vana.31@gmail.com,2002-05-18,Nghe An,5.8,9.9,3.8,students_202601191651.txt,,6.5,Khá
